Title,Company,Location,Link,Job Type,Salary/Stipend,Keyword
Data Scientist,Syngenta,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/data-scientist-at-syngenta-4316056688?position=7&pageNum=2&refId=zWFoeRn9FuAzKU7B12%2Frhw%3D%3D&trackingId=4r%2Fh6WAHJ%2B07dcX%2BUX%2BOjw%3D%3D,Full-time,Not disclosed,Data Scientist
Data Scientist,Rakuten Symphony,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-scientist-at-rakuten-symphony-4314497656?position=8&pageNum=2&refId=zWFoeRn9FuAzKU7B12%2Frhw%3D%3D&trackingId=rMI%2BG3x3NrLQoLa%2B%2FQMXsw%3D%3D,Full-time,Not disclosed,Data Scientist
Data Scientist,Ericsson,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-scientist-at-ericsson-4314720570?position=9&pageNum=2&refId=zWFoeRn9FuAzKU7B12%2Frhw%3D%3D&trackingId=8i4LvQtH9RQLTNOmy%2BW78g%3D%3D,Full-time,Not disclosed,Data Scientist
Data Scientist - REFM,Circle K,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/data-scientist-refm-at-circle-k-4316154261?position=10&pageNum=2&refId=zWFoeRn9FuAzKU7B12%2Frhw%3D%3D&trackingId=F2rBwZ3b%2BKkfBVqhjKdXJQ%3D%3D,Full-time,Not disclosed,Data Scientist
Data Scientist,Citi,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-scientist-at-citi-4314037805?position=1&pageNum=5&refId=TUSzOP9Yll6NakjS7tNkEQ%3D%3D&trackingId=XQ%2FrG7A7goyK%2BUHf45GeQw%3D%3D,Full-time,Not disclosed,Data Scientist
Research Scientist,NielsenIQ,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/research-scientist-at-nielseniq-4313590494?position=2&pageNum=5&refId=TUSzOP9Yll6NakjS7tNkEQ%3D%3D&trackingId=v7Updyu7M6CRLkQQ6molAw%3D%3D,Full-time,Not disclosed,Data Scientist
AI / ML Engineer,Chargebee,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/ai-ml-engineer-at-chargebee-4314287202?position=3&pageNum=5&refId=TUSzOP9Yll6NakjS7tNkEQ%3D%3D&trackingId=ylAhXz2drfGkQ7mjeArmrw%3D%3D,Full-time,Not disclosed,Data Scientist
Assistant Manager-Data Science-Data Scientist,EXL,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/assistant-manager-data-science-data-scientist-at-exl-4315669185?position=4&pageNum=5&refId=TUSzOP9Yll6NakjS7tNkEQ%3D%3D&trackingId=6GMlV%2BAwy5uNomFzLJ48aw%3D%3D,Full-time,Not disclosed,Data Scientist
Data Scientist,Deloitte,"Maharashtra, India",https://in.linkedin.com/jobs/view/data-scientist-at-deloitte-4313039279?position=5&pageNum=5&refId=TUSzOP9Yll6NakjS7tNkEQ%3D%3D&trackingId=fkGRUPMpep7GCRhMC7Je4Q%3D%3D,Full-time,Not disclosed,Data Scientist
ML Engineer,Weekday AI (YC W21),"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/ml-engineer-at-weekday-ai-yc-w21-4314136748?position=6&pageNum=5&refId=TUSzOP9Yll6NakjS7tNkEQ%3D%3D&trackingId=L2DKPFpy50ujstVT0u5UtQ%3D%3D,Full-time,Not disclosed,Data Scientist
Data Science Consultant I - Applied Data Science/ Incident Handling,Blue Yonder,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-science-consultant-i-applied-data-science-incident-handling-at-blue-yonder-4316320782?position=7&pageNum=5&refId=TUSzOP9Yll6NakjS7tNkEQ%3D%3D&trackingId=2ErZILBPwsJOjZyTJoDKJg%3D%3D,Full-time,Not disclosed,Data Scientist
Data Scientist,Recro,India,https://in.linkedin.com/jobs/view/data-scientist-at-recro-4312647603?position=8&pageNum=5&refId=TUSzOP9Yll6NakjS7tNkEQ%3D%3D&trackingId=DzAkg59g4oxHvz7G2yuLMg%3D%3D,Full-time,Not disclosed,Data Scientist
Data Scientist,Recro,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-scientist-at-recro-4315559341?position=9&pageNum=5&refId=TUSzOP9Yll6NakjS7tNkEQ%3D%3D&trackingId=%2FsKUQIFGtma8JiT9ozncWg%3D%3D,Full-time,Not disclosed,Data Scientist
Applied Sciences IC2,Microsoft,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/applied-sciences-ic2-at-microsoft-4316335243?position=10&pageNum=5&refId=TUSzOP9Yll6NakjS7tNkEQ%3D%3D&trackingId=s1YQlC8Sg4%2B13c%2BqghDJmw%3D%3D,Full-time,Not disclosed,Data Scientist
Python Developer,IQVIA,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/python-developer-at-iqvia-4316333181?position=1&pageNum=7&refId=VoGKyvA3rYzrii6GuU3%2BkQ%3D%3D&trackingId=SwrYzwxEwdaDy41hJTNjSw%3D%3D,Full-time,Not disclosed,Data Scientist
Python Developer,Sonata Software,"Karnataka, India",https://in.linkedin.com/jobs/view/python-developer-at-sonata-software-4315554358?position=2&pageNum=7&refId=VoGKyvA3rYzrii6GuU3%2BkQ%3D%3D&trackingId=iOA5iG8tsgXYM%2BDJ7Le59g%3D%3D,Full-time,Not disclosed,Data Scientist
Python Devloper,Infosys,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/python-devloper-at-infosys-4316632685?position=3&pageNum=7&refId=VoGKyvA3rYzrii6GuU3%2BkQ%3D%3D&trackingId=HOQ9x7qQvEegD2yo2dFh3Q%3D%3D,Full-time,Not disclosed,Data Scientist
Data Scientist,Straive,"Bangalore Urban, Karnataka, India",https://in.linkedin.com/jobs/view/data-scientist-at-straive-4314992392?position=4&pageNum=7&refId=VoGKyvA3rYzrii6GuU3%2BkQ%3D%3D&trackingId=YY%2BKKSFIYyD0DhIDHMI%2FHg%3D%3D,Full-time,Not disclosed,Data Scientist
Data Scientist (Agentic AI),Birdeye,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/data-scientist-agentic-ai-at-birdeye-4253930279?position=5&pageNum=7&refId=VoGKyvA3rYzrii6GuU3%2BkQ%3D%3D&trackingId=B6rxjMTjCOUHK%2BcyuPegjw%3D%3D,Full-time,Not disclosed,Data Scientist
Machine Learning Engineer,Recro,India,https://in.linkedin.com/jobs/view/machine-learning-engineer-at-recro-4314712553?position=6&pageNum=7&refId=VoGKyvA3rYzrii6GuU3%2BkQ%3D%3D&trackingId=dW14Q2VzN075aWl6s8TPfw%3D%3D,Full-time,Not disclosed,Data Scientist
Data Scientist,UBS,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/data-scientist-at-ubs-4305223293?position=7&pageNum=7&refId=VoGKyvA3rYzrii6GuU3%2BkQ%3D%3D&trackingId=erZQgQ6r34fFW3YrXt1FVw%3D%3D,Full-time,Not disclosed,Data Scientist
Python Developer,Infosys,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/python-developer-at-infosys-4317896966?position=8&pageNum=7&refId=VoGKyvA3rYzrii6GuU3%2BkQ%3D%3D&trackingId=mK9WI24EsIe1ljLK1BAr1w%3D%3D,Full-time,Not disclosed,Data Scientist
Research Scientist,NielsenIQ,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/research-scientist-at-nielseniq-4256380756?position=9&pageNum=7&refId=VoGKyvA3rYzrii6GuU3%2BkQ%3D%3D&trackingId=Dkln3zYxsp%2BKSTjgA%2BgwEA%3D%3D,Full-time,Not disclosed,Data Scientist
Data Scientist,v4c.ai,India,https://in.linkedin.com/jobs/view/data-scientist-at-v4c-ai-4311926794?position=10&pageNum=7&refId=VoGKyvA3rYzrii6GuU3%2BkQ%3D%3D&trackingId=fxU0pqoxjtUvu49RkK5gBA%3D%3D,Full-time,Not disclosed,Data Scientist
Data Scientist [T500-20970],Albertsons Companies India,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-scientist-t500-20970-at-albertsons-companies-india-4317823438?position=1&pageNum=10&refId=dofSSUAiH%2BWpxygitcMvkw%3D%3D&trackingId=c4OStRG8K%2FOgbqhmDwOreQ%3D%3D,Full-time,Not disclosed,Data Scientist
Data Scientist,Tata Consultancy Services,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-scientist-at-tata-consultancy-services-4316411120?position=2&pageNum=10&refId=dofSSUAiH%2BWpxygitcMvkw%3D%3D&trackingId=TYtMbJxh7XS%2Fepef0hL8mg%3D%3D,Full-time,Not disclosed,Data Scientist
Junior Data Scientist,GITAA,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/junior-data-scientist-at-gitaa-4316046944?position=3&pageNum=10&refId=dofSSUAiH%2BWpxygitcMvkw%3D%3D&trackingId=rtmAQcqFSNhw5kbytkq7BQ%3D%3D,Full-time,Not disclosed,Data Scientist
Data Scientist,Equifax,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-scientist-at-equifax-4307013927?position=4&pageNum=10&refId=dofSSUAiH%2BWpxygitcMvkw%3D%3D&trackingId=u46ziDio2yiRG2bBaUSAhg%3D%3D,Full-time,Not disclosed,Data Scientist
Data Scientist,BeGig,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/data-scientist-at-begig-4314972357?position=5&pageNum=10&refId=dofSSUAiH%2BWpxygitcMvkw%3D%3D&trackingId=rkqY5H5cfceyV65BDnKxjw%3D%3D,Contract,Not disclosed,Data Scientist
Data Scientist II,Microsoft,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/data-scientist-ii-at-microsoft-4315138440?position=6&pageNum=10&refId=dofSSUAiH%2BWpxygitcMvkw%3D%3D&trackingId=ZuYk2HsLbKT9N8kRHybY3A%3D%3D,Full-time,Not disclosed,Data Scientist
Data Scientist,ImpactGuru,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/data-scientist-at-impactguru-4314738295?position=7&pageNum=10&refId=dofSSUAiH%2BWpxygitcMvkw%3D%3D&trackingId=gqC8n5KMNjb7U4%2F3Qx4uig%3D%3D,Full-time,Not disclosed,Data Scientist
ML Engineer,Arm,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/ml-engineer-at-arm-4314287053?position=8&pageNum=10&refId=dofSSUAiH%2BWpxygitcMvkw%3D%3D&trackingId=WBEP6PPKQwXUjjxvPHIzCA%3D%3D,Full-time,Not disclosed,Data Scientist
AI/DNA-Data Scientists,Infosys,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/ai-dna-data-scientists-at-infosys-4317131410?position=9&pageNum=10&refId=dofSSUAiH%2BWpxygitcMvkw%3D%3D&trackingId=TmFOOlWoToQeZA8ZNcEojw%3D%3D,Full-time,Not disclosed,Data Scientist
Machine Learning Engineer,Intellect Design Arena Ltd,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/machine-learning-engineer-at-intellect-design-arena-ltd-4315113852?position=10&pageNum=10&refId=dofSSUAiH%2BWpxygitcMvkw%3D%3D&trackingId=2x%2FKmsx1kdU%2FdhWnstuz1g%3D%3D,Full-time,Not disclosed,Data Scientist
Senior Data Scientist [T500-20864],Delta Air Lines,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/senior-data-scientist-t500-20864-at-delta-air-lines-4314496857?position=1&pageNum=12&refId=gfORB1M5Ajm4MzLrmTzCtw%3D%3D&trackingId=xDpRdTSpq8GCgFpSMJJIgg%3D%3D,Full-time,Not disclosed,Data Scientist
"Senior Software Engineer, Machine Learning",Roku,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/senior-software-engineer-machine-learning-at-roku-4318233242?position=2&pageNum=12&refId=gfORB1M5Ajm4MzLrmTzCtw%3D%3D&trackingId=bSIN7etgK%2BkVG0szJAOtYg%3D%3D,Full-time,Not disclosed,Data Scientist
Data Scientist-Artificial Intelligence,IBM,Mumbai Metropolitan Region,https://in.linkedin.com/jobs/view/data-scientist-artificial-intelligence-at-ibm-4294444366?position=3&pageNum=12&refId=gfORB1M5Ajm4MzLrmTzCtw%3D%3D&trackingId=H6a%2Fi2OGn1V2a%2FlHDhIYTw%3D%3D,Full-time,Not disclosed,Data Scientist
Data Scientist,Tata Consultancy Services,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/data-scientist-at-tata-consultancy-services-4315094806?position=4&pageNum=12&refId=gfORB1M5Ajm4MzLrmTzCtw%3D%3D&trackingId=X67w8IeCm74sDhRtUcR7%2BQ%3D%3D,Full-time,Not disclosed,Data Scientist
Data Scientist,eBay,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-scientist-at-ebay-4313083501?position=5&pageNum=12&refId=gfORB1M5Ajm4MzLrmTzCtw%3D%3D&trackingId=l534RwiNTjA68y8tEnZEeA%3D%3D,Full-time,Not disclosed,Data Scientist
Data Scientist,Aindra Systems,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-scientist-at-aindra-systems-4313732661?position=6&pageNum=12&refId=gfORB1M5Ajm4MzLrmTzCtw%3D%3D&trackingId=YBaHZREIt%2BWNoSi420%2BVUQ%3D%3D,Full-time,Not disclosed,Data Scientist
Data Scientist,Saplings HR,"Noida, Uttar Pradesh, India",https://in.linkedin.com/jobs/view/data-scientist-at-saplings-hr-4313318644?position=7&pageNum=12&refId=gfORB1M5Ajm4MzLrmTzCtw%3D%3D&trackingId=7bvMQ2OkzJt%2B2WsWQXAR3Q%3D%3D,Full-time,Not disclosed,Data Scientist
Python Developer,Infosys,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/python-developer-at-infosys-4316939539?position=8&pageNum=12&refId=gfORB1M5Ajm4MzLrmTzCtw%3D%3D&trackingId=xOSNI7bEvja0f0Gq2HVS5A%3D%3D,Full-time,Not disclosed,Data Scientist
AI/ML Engineer,Siemens EDA (Siemens Digital Industries Software),"Noida, Uttar Pradesh, India",https://in.linkedin.com/jobs/view/ai-ml-engineer-at-siemens-eda-siemens-digital-industries-software-4314730000?position=9&pageNum=12&refId=gfORB1M5Ajm4MzLrmTzCtw%3D%3D&trackingId=fG%2B5Z%2BbgVYI7bWg7%2Fv5Hjw%3D%3D,Full-time,Not disclosed,Data Scientist
Data Scientist/Senior Data Scientist - Gen AI (3 to 5 Years),Fractal,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-scientist-senior-data-scientist-gen-ai-3-to-5-years-at-fractal-4206436028?position=10&pageNum=12&refId=gfORB1M5Ajm4MzLrmTzCtw%3D%3D&trackingId=Nrn7h%2B%2Fu0MUUjhk8na%2BVSg%3D%3D,Full-time,Not disclosed,Data Scientist
Data Scientist,Infosys,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/data-scientist-at-infosys-4318119010?position=1&pageNum=15&refId=UV8qTpesL4NWQHdiR0j9vg%3D%3D&trackingId=7K4oh8Znll2Be9pYAjVn9w%3D%3D,Full-time,Not disclosed,Data Scientist
Associate Data Scientist,v4c.ai,India,https://in.linkedin.com/jobs/view/associate-data-scientist-at-v4c-ai-4311921866?position=2&pageNum=15&refId=UV8qTpesL4NWQHdiR0j9vg%3D%3D&trackingId=sC3L8QCkSaHFEiJVCYRTJw%3D%3D,Full-time,Not disclosed,Data Scientist
Data Scientist,Brace Infotech Private Ltd,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/data-scientist-at-brace-infotech-private-ltd-4316918115?position=3&pageNum=15&refId=UV8qTpesL4NWQHdiR0j9vg%3D%3D&trackingId=7st8UCBvjjmrW0RerRsF0w%3D%3D,Full-time,Not disclosed,Data Scientist
Data Scientist,Ishan Technologies,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/data-scientist-at-ishan-technologies-4316064311?position=4&pageNum=15&refId=UV8qTpesL4NWQHdiR0j9vg%3D%3D&trackingId=CRT%2F87b5FkTEg%2BEr%2F7cO9w%3D%3D,Full-time,Not disclosed,Data Scientist
Data Scientist,ACL Digital,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-scientist-at-acl-digital-4316921447?position=5&pageNum=15&refId=UV8qTpesL4NWQHdiR0j9vg%3D%3D&trackingId=JKymHb95RV2bvTDwDcj2RQ%3D%3D,Full-time,Not disclosed,Data Scientist
ML Engineer,Arm,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/ml-engineer-at-arm-4314269360?position=6&pageNum=15&refId=UV8qTpesL4NWQHdiR0j9vg%3D%3D&trackingId=OmR4F7sdYwixQU8284JuNQ%3D%3D,Full-time,Not disclosed,Data Scientist
Data Scientist,LSEG,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-scientist-at-lseg-4035091931?position=7&pageNum=15&refId=UV8qTpesL4NWQHdiR0j9vg%3D%3D&trackingId=vNXlBAPtJIAPESF3EpL5QA%3D%3D,Full-time,Not disclosed,Data Scientist
Data Scientist,Tata Consultancy Services,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/data-scientist-at-tata-consultancy-services-4317153538?position=8&pageNum=15&refId=UV8qTpesL4NWQHdiR0j9vg%3D%3D&trackingId=p2uZr9FCpW4XNp9MLVmLbw%3D%3D,Full-time,Not disclosed,Data Scientist
Data Science Intern,Houlihan Lokey,Mumbai Metropolitan Region,https://in.linkedin.com/jobs/view/data-science-intern-at-houlihan-lokey-4315159928?position=9&pageNum=15&refId=UV8qTpesL4NWQHdiR0j9vg%3D%3D&trackingId=IJUGIul3OhEOo%2FfLMdlHcQ%3D%3D,Full-time,Not disclosed,Data Scientist
Machine Learning Engineer,Tower Research Capital,"Gurgaon, Haryana, India",https://in.linkedin.com/jobs/view/machine-learning-engineer-at-tower-research-capital-3940345912?position=10&pageNum=15&refId=UV8qTpesL4NWQHdiR0j9vg%3D%3D&trackingId=NAz65wiPk2fsUfa%2FYgVmcg%3D%3D,Full-time,Not disclosed,Data Scientist
Machine Learning Engineer (T25),eBay,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/machine-learning-engineer-t25-at-ebay-4256644747?position=1&pageNum=17&refId=Kl%2B%2FTGupl%2BWxWNPzGN3Anw%3D%3D&trackingId=pjKJe%2FmpBp4gRmxoSM1dKg%3D%3D,Full-time,Not disclosed,Data Scientist
Data Scientist,Tata Consultancy Services,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/data-scientist-at-tata-consultancy-services-4314262232?position=2&pageNum=17&refId=Kl%2B%2FTGupl%2BWxWNPzGN3Anw%3D%3D&trackingId=lc%2B8wRsglb%2FS5AQXuzkm5w%3D%3D,Full-time,Not disclosed,Data Scientist
Machine Learning Engineer,YASH Technologies,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/machine-learning-engineer-at-yash-technologies-4311940816?position=3&pageNum=17&refId=Kl%2B%2FTGupl%2BWxWNPzGN3Anw%3D%3D&trackingId=WFpEMict1txOwNUSgXbu9w%3D%3D,Full-time,Not disclosed,Data Scientist
Data Scientist,ACL Digital,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-scientist-at-acl-digital-4316916999?position=4&pageNum=17&refId=Kl%2B%2FTGupl%2BWxWNPzGN3Anw%3D%3D&trackingId=yMUsGWOsQ3CmcDYd2if%2BaQ%3D%3D,Full-time,Not disclosed,Data Scientist
AI/ML Engineer (machine learning),Prefr (Formerly CreditVidya),"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/ai-ml-engineer-machine-learning-at-prefr-formerly-creditvidya-4315234175?position=5&pageNum=17&refId=Kl%2B%2FTGupl%2BWxWNPzGN3Anw%3D%3D&trackingId=AqbVthRznyo8KPBBZeRbmA%3D%3D,Full-time,Not disclosed,Data Scientist
AI ML Engineer,CirrusLabs,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/ai-ml-engineer-at-cirruslabs-4313326128?position=6&pageNum=17&refId=Kl%2B%2FTGupl%2BWxWNPzGN3Anw%3D%3D&trackingId=V8bhpybYAv8oI5cAGphgBQ%3D%3D,Full-time,Not disclosed,Data Scientist
Data Scientist - Artificial Intelligence,IBM,Mumbai Metropolitan Region,https://in.linkedin.com/jobs/view/data-scientist-artificial-intelligence-at-ibm-4302636402?position=7&pageNum=17&refId=Kl%2B%2FTGupl%2BWxWNPzGN3Anw%3D%3D&trackingId=gYk6dibBt79uDTUEc8j6kQ%3D%3D,Full-time,Not disclosed,Data Scientist
Deep Learning Engineer & Data Scientist,Cortex Consultants LLC,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/deep-learning-engineer-data-scientist-at-cortex-consultants-llc-4317575166?position=8&pageNum=17&refId=Kl%2B%2FTGupl%2BWxWNPzGN3Anw%3D%3D&trackingId=T65woXZgFvGVNsvU1Gpi5A%3D%3D,Full-time,Not disclosed,Data Scientist
Data Scientist,Gallagher,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-scientist-at-gallagher-4151675048?position=9&pageNum=17&refId=Kl%2B%2FTGupl%2BWxWNPzGN3Anw%3D%3D&trackingId=puPyL7kHLETLVuOns8Q7Tw%3D%3D,Full-time,Not disclosed,Data Scientist
Data Scientist- Associate 2,PwC Acceleration Center India,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-scientist-associate-2-at-pwc-acceleration-center-india-4302393707?position=10&pageNum=17&refId=Kl%2B%2FTGupl%2BWxWNPzGN3Anw%3D%3D&trackingId=lJfvoTARt%2F3rzC9k1QdMtQ%3D%3D,Full-time,Not disclosed,Data Scientist
Machine Learning Engineer,Valiance Solutions,Greater Bengaluru Area,https://in.linkedin.com/jobs/view/machine-learning-engineer-at-valiance-solutions-4255704695?position=1&pageNum=20&refId=viO%2FewN1vLAeuGtdXoBiYg%3D%3D&trackingId=BHyVwbePulFf5v7RpZus8Q%3D%3D,Full-time,Not disclosed,Data Scientist
Growth Data Scientist,Moniepoint Group,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/growth-data-scientist-at-moniepoint-group-4267691249?position=2&pageNum=20&refId=viO%2FewN1vLAeuGtdXoBiYg%3D%3D&trackingId=fAn5CSms6Y%2FdG5U%2BjpLZZQ%3D%3D,Full-time,Not disclosed,Data Scientist
